page,tag,text,location,matches
/,body (p),Pontos de interesse,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Praia de São Gonçalo,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Ilha do Pelado,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Praia da Trindade,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Passeio de Escuna,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Passeio de Jeep,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Igreja de Santa Rita,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Praia de São Gonçalo,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Ilha do Pelado,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Praia da Trindade,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Passeio de Escuna,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Passeio de Jeep,pontos-de-interesse,sem correspondência com termo-alvo
/,body (span),Igreja de Santa Rita,pontos-de-interesse,sem correspondência com termo-alvo
/,body (p),0.0,avaliacoes,sem correspondência com termo-alvo
/,body (p),Nota no Google,avaliacoes,sem correspondência com termo-alvo
/,body (p),0+,avaliacoes,sem correspondência com termo-alvo
/,body (p),Avaliações de Hóspedes,avaliacoes,sem correspondência com termo-alvo
/,body (p),0%,avaliacoes,sem correspondência com termo-alvo
/,body (p),Satisfação do Cliente,avaliacoes,sem correspondência com termo-alvo
/,alt,Piscina da Pousada Aquino Mar com espreguiçadeiras e logo ao fundo,sobre,pousada
/,alt,"Café da manhã da Pousada Aquino Mar com bolo, frutas e café",sobre,pousada
/,body (p),SOBRE NÓS,sobre,sem correspondência com termo-alvo
/,H2,"Mais que hospedagem, um acolhimento de família",sobre,hospedagem
/,body (p),"Na Pousada Aquino Mar, a hospitalidade nasce do cuidado de uma família que recebe cada visitante com atenção, proximidade e carinho.",sobre,pousada
/,body (p),"Em um ambiente tranquilo e acolhedor, cada detalhe é pensado para que sua estadia em Paraty seja leve, confortável e especial.",sobre,Paraty
/,body (p),"Aqui, cada hóspede é recebido como parte da família.",sobre,sem correspondência com termo-alvo
/,body (p),Hospitalidade familiar em Paraty,sobre,Paraty
/,body (p),NOSSA HISTÓRIA,nossa-historia,sem correspondência com termo-alvo
/,H2,"Um sobrenome, uma família, uma pousada",nossa-historia,pousada
/,body (p),"O nome Aquino Mar carrega o sobrenome da família que também está por trás da Aquinotour, agência de passeios náuticos da região. É a Rose, o esposo e a filha tocando o negócio com as próprias mãos e recebendo cada hóspede como visita de casa.",nossa-historia,sem correspondência com termo-alvo
/,alt,Área da piscina da Pousada Aquino Mar na propriedade,nossa-historia,pousada
/,alt,"Café da manhã preparado com bolo, frutas, pão de queijo e café",nossa-historia,sem correspondência com termo-alvo
/,body (p),"Essa proximidade aparece em cada detalhe: no café da manhã feito com carinho, na atenção redobrada à limpeza dos quartos e na disposição de indicar o melhor passeio ou a praia mais tranquila para quem está de passagem por Paraty.",nossa-historia,Paraty
/,body (p),Cada detalhe carrega um pouco da nossa história.,nossa-historia,sem correspondência com termo-alvo
/,body (p),Família Aquino,nossa-historia,sem correspondência com termo-alvo
/,body (p),CURADORIA LOCAL,destaques,sem correspondência com termo-alvo
/,H2,O que explorar perto da pousada,destaques,pousada
/,body (p),"Lugares especiais de Paraty, escolhidos por quem conhece cada caminho.",destaques,Paraty
/,body (span),01,destaques,sem correspondência com termo-alvo
/,body (span),05,destaques,sem correspondência com termo-alvo
/,alt,Praia de São Gonçalo em Paraty com faixa de areia clara e mar tranquilo,destaques,Paraty
/,body (span),01 / Praias,destaques,sem correspondência com termo-alvo
/,H3,Praia de São Gonçalo,destaques,sem correspondência com termo-alvo
/,body (p),Mar calmo · Boa para famílias,destaques,sem correspondência com termo-alvo
/,body (span),Descobrir o lugar →,destaques,sem correspondência com termo-alvo
/,H3,Praia de São Gonçalo,destaques,sem correspondência com termo-alvo
/,body (p),Mar calmo · Boa para famílias,destaques,sem correspondência com termo-alvo
/,body (span),Descobrir o lugar →,destaques,sem correspondência com termo-alvo
/,alt,Passeio de escuna em Paraty navegando por praias de mar azul,destaques,Paraty
/,body (span),02,destaques,sem correspondência com termo-alvo
/,body (p),Passeio de Escuna,destaques,sem correspondência com termo-alvo
/,H3,Passeio de Escuna,destaques,sem correspondência com termo-alvo
/,alt,Passeio de jeep em Paraty por roteiro de natureza e aventura,destaques,Paraty
/,body (span),03,destaques,sem correspondência com termo-alvo
/,body (p),Passeio de Jeep,destaques,sem correspondência com termo-alvo
/,H3,Passeio de Jeep,destaques,sem correspondência com termo-alvo
/,alt,Ilha do Pelado em Paraty com mar transparente e vegetação costeira,destaques,Paraty
/,body (span),04,destaques,sem correspondência com termo-alvo
/,body (p),Ilha do Pelado,destaques,sem correspondência com termo-alvo
/,H3,Ilha do Pelado,destaques,sem correspondência com termo-alvo
/,alt,Praia da Trindade em Paraty com mar azul e paisagem preservada,destaques,Paraty
/,body (span),05,destaques,sem correspondência com termo-alvo
/,body (p),Praia da Trindade,destaques,sem correspondência com termo-alvo
/,H3,Praia da Trindade,destaques,sem correspondência com termo-alvo
/,body (p),CAFÉ DA MANHÃ,cafe-da-manha,sem correspondência com termo-alvo
/,H2,O café da manhã que faz o dia começar em família,cafe-da-manha,sem correspondência com termo-alvo
/,body (p),"Sabores preparados com cuidado, ingredientes frescos e o acolhimento de uma mesa feita para receber.",cafe-da-manha,sem correspondência com termo-alvo
/,alt,"Buffet de café da manhã da Pousada Aquino Mar com frutas, pães e bolos em uma mesa ampla",cafe-da-manha,pousada
/,H3,Manhãs feitas com cuidado,cafe-da-manha,sem correspondência com termo-alvo
/,body (p),Café fresco · Sabores artesanais · Hospitalidade familiar,cafe-da-manha,sem correspondência com termo-alvo
/,alt,Hóspedes tomando café da manhã em família no salão da Pousada Aquino Mar,cafe-da-manha,pousada
/,alt,"Mesa de café da manhã com bolo, frutas, pão de queijo e café na Pousada Aquino Mar",cafe-da-manha,pousada
/,H3,Preparado com carinho,cafe-da-manha,sem correspondência com termo-alvo
/,body (p),Uma seleção pensada para começar o dia com sabor e tranquilidade.,cafe-da-manha,sem correspondência com termo-alvo
/,H3,Sabores frescos,cafe-da-manha,sem correspondência com termo-alvo
/,body (p),"Frutas, pães, bolos e bebidas servidos em uma mesa acolhedora.",cafe-da-manha,sem correspondência com termo-alvo
/,H3,Tempo à mesa,cafe-da-manha,sem correspondência com termo-alvo
/,body (p),Um momento leve para aproveitar a manhã antes de descobrir Paraty.,cafe-da-manha,Paraty
/,body (p),CONFORTO & CUIDADO,comodidades,sem correspondência com termo-alvo
/,H2,Estrutura e comodidades para uma estadia sem preocupação,comodidades,sem correspondência com termo-alvo
/,body (p),"Da chegada com estacionamento privativo ao cuidado diário com o quarto, tudo foi pensado para você aproveitar Paraty com conforto, tranquilidade e liberdade.",comodidades,Paraty
/,body (p),Cuidamos dos detalhes. Você aproveita a estadia.,comodidades,sem correspondência com termo-alvo
/,body (span),01,comodidades,sem correspondência com termo-alvo
/,H3,Piscina e jardim,comodidades,sem correspondência com termo-alvo
/,body (p),"Áreas externas para descansar entre um passeio e outro, com clima tranquilo de pousada familiar.",comodidades,pousada
/,body (span),02,comodidades,sem correspondência com termo-alvo
/,H3,Wi-Fi e ar-condicionado,comodidades,sem correspondência com termo-alvo
/,body (p),"Conforto essencial nos quartos para relaxar, trabalhar ou planejar o próximo dia em Paraty.",comodidades,Paraty
/,body (span),03,comodidades,sem correspondência com termo-alvo
/,H3,Estacionamento gratuito,comodidades,sem correspondência com termo-alvo
/,body (p),"Vaga privativa sem custo, um diferencial para quem quer evitar a disputa por espaço no centro.",comodidades,sem correspondência com termo-alvo
/,body (span),04,comodidades,sem correspondência com termo-alvo
/,H3,Limpeza e enxoval,comodidades,sem correspondência com termo-alvo
/,body (p),Limpeza diária e enxoval de qualidade para a estadia manter sempre a sensação de cuidado.,comodidades,sem correspondência com termo-alvo
/,body (p),ACOMODAÇÕES,quartos,sem correspondência com termo-alvo
/,H2,Quartos para descansar em Paraty,quartos,Paraty
/,body (p),"Ambientes acolhedores, preparados para noites tranquilas e manhãs leves perto de tudo o que Paraty oferece.",quartos,Paraty
/,body (p),02 acomodações,quartos,sem correspondência com termo-alvo
/,CTA (a),Todas,quartos,sem correspondência com termo-alvo
/,CTA (a),Casal,quartos,sem correspondência com termo-alvo
/,CTA (a),Múltipla,quartos,sem correspondência com termo-alvo
/,alt,Suíte Casal - foto 1,quartos,sem correspondência com termo-alvo
/,body (div),01 — CASAL,quartos,sem correspondência com termo-alvo
/,aria-label,Imagem anterior,quartos,sem correspondência com termo-alvo
/,aria-label,Próxima imagem,quartos,sem correspondência com termo-alvo
/,body (span),01,quartos,sem correspondência com termo-alvo
/,body (span),/,quartos,sem correspondência com termo-alvo
/,body (span),04,quartos,sem correspondência com termo-alvo
/,H3,Suíte Casal,quartos,sem correspondência com termo-alvo
/,body (p),5 unidades,quartos,sem correspondência com termo-alvo
/,body (p),"Ambiente intimista e confortável, ideal para casais ou estadias individuais que prezam por espaço e privacidade. Contamos com 5 unidades idênticas nesta categoria, todas oferecendo um espaço amplo e acabamento padronizado.",quartos,sem correspondência com termo-alvo
/,body (span),Acomoda,quartos,sem correspondência com termo-alvo
/,body (span),2,quartos,sem correspondência com termo-alvo
/,body (span),Cama King Size (2m x 2m) e poltrona,quartos,sem correspondência com termo-alvo
/,body (span),"Cabore, Paraty - RJ",quartos,Paraty
/,CTA (a),Reservar esta suíte,quartos,sem correspondência com termo-alvo
/,CTA (a),Ver detalhes →,quartos,sem correspondência com termo-alvo
/,alt,Suíte Múltipla - foto 1,quartos,sem correspondência com termo-alvo
/,body (div),02 — FAMÍLIA,quartos,sem correspondência com termo-alvo
/,aria-label,Imagem anterior,quartos,sem correspondência com termo-alvo
/,aria-label,Próxima imagem,quartos,sem correspondência com termo-alvo
/,body (span),01,quartos,sem correspondência com termo-alvo
/,body (span),/,quartos,sem correspondência com termo-alvo
/,body (span),05,quartos,sem correspondência com termo-alvo
/,H3,Suíte Múltipla,quartos,sem correspondência com termo-alvo
/,body (p),13 unidades,quartos,sem correspondência com termo-alvo
/,body (p),"Alta versatilidade e flexibilidade de ocupação, ideal para famílias, pequenos grupos ou viagens corporativas. Temos 13 unidades modulares que acomodam confortavelmente 3 ou 4 pessoas em um espaço amplo e bem equipado.",quartos,sem correspondência com termo-alvo
/,body (span),Acomoda,quartos,sem correspondência com termo-alvo
/,body (span),4,quartos,sem correspondência com termo-alvo
/,body (span),Cama King Size modular (p/ 3 ou 4 pax),quartos,sem correspondência com termo-alvo
/,body (span),"Cabore, Paraty - RJ",quartos,Paraty
/,CTA (a),Reservar esta suíte,quartos,sem correspondência com termo-alvo
/,CTA (a),Ver detalhes →,quartos,sem correspondência com termo-alvo
/,alt,,localizacao,sem correspondência com termo-alvo
/,body (p),LOCALIZAÇÃO,localizacao,sem correspondência com termo-alvo
/,H2,Localização e como chegar,localizacao,sem correspondência com termo-alvo
/,body (p),+ Endereço completo,localizacao,sem correspondência com termo-alvo
/,body (p),+ Mapa incorporado,localizacao,sem correspondência com termo-alvo
/,body (p),+ 12-20 min do Centro,localizacao,sem correspondência com termo-alvo
/,title (atributo),Mapa da Pousada Aquino Mar,localizacao,pousada
/,body (p),"No Caboré, a pousada fica em uma rua residencial e tranquila, com acesso fácil ao Centro Histórico e aos principais passeios de Paraty.",localizacao,"pousada, Paraty"
/,body (div),01,localizacao,sem correspondência com termo-alvo
/,body (p),Endereço,localizacao,sem correspondência com termo-alvo
/,H3,"Rua Guapuruvu, 371",localizacao,sem correspondência com termo-alvo
/,body (p),"Caboré, Paraty - RJ, CEP 23970-000.",localizacao,Paraty
/,body (div),02,localizacao,sem correspondência com termo-alvo
/,body (p),Centro,localizacao,sem correspondência com termo-alvo
/,H3,12-20 min a pé,localizacao,sem correspondência com termo-alvo
/,body (p),"Caminho prático até o Centro Histórico, em ritmo tranquilo.",localizacao,sem correspondência com termo-alvo
/,body (div),03,localizacao,sem correspondência com termo-alvo
/,body (p),Bairro,localizacao,sem correspondência com termo-alvo
/,H3,Caboré residencial,localizacao,sem correspondência com termo-alvo
/,body (p),"Mais silêncio para descansar, sem perder acesso ao movimento de Paraty.",localizacao,Paraty
/,body (div),04,localizacao,sem correspondência com termo-alvo
/,body (p),Chegada,localizacao,sem correspondência com termo-alvo
/,H3,Estacione sem custo,localizacao,sem correspondência com termo-alvo
/,body (p),Estacionamento privativo gratuito para chegar de carro com tranquilidade.,localizacao,sem correspondência com termo-alvo
/,body (p),MEMÓRIAS DA POUSADA,momentos,pousada
/,H2,Momentos que nossos hóspedes viveram na pousada,momentos,pousada
/,body (p),"Cada foto aqui é de uma família que se hospedou na Pousada Aquino Mar, momentos reais, sorrisos reais.",momentos,pousada
/,alt,Família hospedada vivendo momentos especiais na Pousada Aquino Mar,momentos,pousada
/,alt,Casal sorrindo durante estadia em Paraty,momentos,Paraty
/,alt,Hóspedes aproveitando dias tranquilos perto do mar,momentos,sem correspondência com termo-alvo
/,alt,Grupo reunido em uma viagem para Paraty,momentos,Paraty
/,alt,Hóspedes relaxando durante a estadia,momentos,sem correspondência com termo-alvo
/,alt,Família explorando a região de Paraty,momentos,Paraty
/,alt,Vista de viagem registrada por hóspedes,momentos,sem correspondência com termo-alvo
/,alt,Momentos especiais vividos por hóspedes da pousada,momentos,pousada
/,alt,Fim de tarde durante viagem em família,momentos,sem correspondência com termo-alvo
/,alt,Mais momentos de alegria de nossos hóspedes,momentos,sem correspondência com termo-alvo
/,alt,Aproveitando a vida em Paraty,momentos,Paraty
/,alt,Sorrisos de nossos hóspedes na pousada,momentos,pousada
/,body (p),PERGUNTAS FREQUENTES,faq,sem correspondência com termo-alvo
/,H2,Tire suas dúvidas,faq,sem correspondência com termo-alvo
/,body (p),Tudo o que você precisa saber antes de se hospedar com a gente em Paraty.,faq,Paraty
/,H3,Não encontrou sua resposta?,faq,sem correspondência com termo-alvo
/,body (p),Fale diretamente com a equipe da pousada para consultar disponibilidade e detalhes da estadia.,faq,pousada
/,CTA (a),Fale com a gente,faq,sem correspondência com termo-alvo
/,CTA (button),01O café da manhã está incluído na diária?,faq,sem correspondência com termo-alvo
/,CTA (button),02A pousada tem estacionamento?,faq,pousada
/,CTA (button),03Qual é a distância até o Centro Histórico de Paraty?,faq,Paraty
/,CTA (button),04Os quartos têm ar-condicionado e Wi-Fi?,faq,sem correspondência com termo-alvo
/,CTA (button),05A pousada tem piscina e áreas comuns?,faq,pousada
/,CTA (button),06Como faço para consultar disponibilidade ou reservar?,faq,sem correspondência com termo-alvo
/,CTA (button),07A pousada é indicada para famílias?,faq,pousada
/,body (p),DEPOIMENTOS,depoimentos,sem correspondência com termo-alvo
/,H2,O que nossos hóspedes dizem,depoimentos,sem correspondência com termo-alvo
/,body (p),"Nota real 5.0 no Google, com mais de 411 avaliações de hóspedes reais.",depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Café da manhã da pousada excelente, com grande variedade de bolos, frios, frutas e sucos naturais. A limpeza dos quartos e das áreas comuns é impecável, e as toalhas são de ótima qualidade.",depoimentos,pousada
/,body (span),Idalete Pacheco,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Pousada maravilhosa! Quartos grandes, tudo limpinho, café da manhã com tudo fresquinho. O atendimento da família que é proprietária foi show! Sempre prontos a ajudar.",depoimentos,pousada
/,body (span),Roseli Ferreira,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Rose é uma anfitriã maravilhosa, super atenciosa, prestativa, educada, dedicada, faltam elogios! Nos auxiliou na indicação de passeios.",depoimentos,sem correspondência com termo-alvo
/,body (span),Thais Alves,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Quarto novo, impecável, cama grande, ar condicionado muito bom. Sem contar o café da manhã excelente e o serviço de atendimento muito bom.",depoimentos,sem correspondência com termo-alvo
/,body (span),Danilo Romeu,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Lugar maravilhoso! Café da manhã variado, caprichado e feito com amor. Thiago e Rose são pessoas muito queridas e atenciosas. Recomendo fortemente!",depoimentos,sem correspondência com termo-alvo
/,body (span),Nedi Ropke,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"As toalhas de banho impecáveis e cheirosas. Roupas de cama, quarto, banheiro. Café da manhã uma delícia. Foi uma estadia perfeita.",depoimentos,sem correspondência com termo-alvo
/,body (span),Marcia Seefeldt,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Quartos limpos, amplos com ar condicionado. Café da manhã excepcional! Tudo limpinho e bem organizado.",depoimentos,sem correspondência com termo-alvo
/,body (span),Camila Lazaro,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,aria-label,5 estrelas,depoimentos,sem correspondência com termo-alvo
/,body (p),"Profissionais super capacitados, atendimento de primeira classe. Gratidão ao senhor Tiago e sua família pelo acolhimento maravilhoso.",depoimentos,sem correspondência com termo-alvo
/,body (span),José Orlando Albiero,depoimentos,sem correspondência com termo-alvo
/,body (span),Google,depoimentos,sem correspondência com termo-alvo
/,body (p),RESERVA DIRETA,Pronta para sua próxima estadia?,sem correspondência com termo-alvo
/,H2,Pronta para sua próxima estadia?,Pronta para sua próxima estadia?,sem correspondência com termo-alvo
/,body (p),"Fale direto com a gente pelo WhatsApp e garanta sua reserva na Pousada Aquino Mar, sem intermediários.",Pronta para sua próxima estadia?,pousada
/,CTA (a),Fale pelo WhatsApp,Pronta para sua próxima estadia?,sem correspondência com termo-alvo
/,body (p),Nota 5.0 no Google · 411+ avaliações,Pronta para sua próxima estadia?,sem correspondência com termo-alvo
/,alt,,contato,sem correspondência com termo-alvo
/,alt,,contato,sem correspondência com termo-alvo
/,alt,Pousada Aquino Mar,contato,pousada
/,body (p),"Acolhimento familiar em Caboré, Paraty, com localização tranquila, café da manhã e contato direto com a pousada.",contato,"pousada, Paraty"
/,CTA (a),Reservar no WhatsApp,contato,sem correspondência com termo-alvo
/,H3,Navegação,contato,sem correspondência com termo-alvo
/,CTA (a),Início,contato,sem correspondência com termo-alvo
/,CTA (a),Sobre nós,contato,sem correspondência com termo-alvo
/,CTA (a),Quartos,contato,sem correspondência com termo-alvo
/,CTA (a),Localização,contato,sem correspondência com termo-alvo
/,CTA (a),Depoimentos,contato,sem correspondência com termo-alvo
/,H3,Contato,contato,sem correspondência com termo-alvo
/,body (p),"R. Guapuruvu, 371 - Caborê, Paraty - RJ, 23970-000",contato,Paraty
/,CTA (a),(24) 99828-0363,contato,sem correspondência com termo-alvo
/,CTA (a),contato@pousadaaquinomar.com.br,contato,sem correspondência com termo-alvo
/,aria-label,Instagram da Pousada Aquino Mar,contato,pousada
/,aria-label,Facebook da Pousada Aquino Mar,contato,pousada
/,H3,Onde estamos,contato,sem correspondência com termo-alvo
/,title (atributo),"Localização Pousada Aquino Mar - Caboré, Paraty",contato,"pousada, Paraty"
/,body (p),© 2026 Pousada Aquino Mar. Todos os direitos reservados.,contato,pousada
/,body (span),Desenvolvido por,contato,sem correspondência com termo-alvo
/,CTA (a),Off-Data,contato,sem correspondência com termo-alvo
/,CTA (a),Política de Privacidade e Cookies,contato,sem correspondência com termo-alvo
/,CTA (button),Preferências de cookies,contato,sem correspondência com termo-alvo
/,body (p),"Sim. O café da manhã está incluído e é servido das 8h às 10h, com mesa preparada pela família da pousada, opções frescas e aquele cuidado de casa que os hóspedes sempre elogiam.",FAQ item 1 / resposta ao expandir,pousada
/,body (p),Temos estacionamento privativo gratuito para hóspedes. É um diferencial importante para quem quer ficar em um bairro tranquilo de Paraty sem depender de vagas disputadas no Centro Histórico.,FAQ item 2 / resposta ao expandir,Paraty
/,body (p),"A Pousada Aquino Mar fica no Caboré, em uma rua residencial e tranquila. O trajeto até o Centro Histórico leva em média de 12 a 20 minutos a pé, em ritmo tranquilo.",FAQ item 3 / resposta ao expandir,pousada
/,body (p),"Sim. As acomodações contam com ar-condicionado e Wi-Fi, além de enxoval de qualidade e limpeza diária para deixar a estadia mais confortável.",FAQ item 4 / resposta ao expandir,sem correspondência com termo-alvo
/,body (p),"Sim. A pousada oferece piscina, jardim e áreas de convivência pensadas para uma experiência leve, familiar e acolhedora depois dos passeios por Paraty.",FAQ item 5 / resposta ao expandir,"pousada, Paraty"
/,body (p),"Você pode falar direto pelo WhatsApp da Pousada Aquino Mar. A equipe confirma disponibilidade, valores atualizados e ajuda a escolher o quarto mais adequado para sua viagem.",FAQ item 6 / resposta ao expandir,pousada
/,body (p),"Sim. O atendimento familiar é um dos pontos mais fortes da pousada, com acolhimento próximo, quartos confortáveis e uma rotina pensada para quem busca hospitalidade de verdade em Paraty.",FAQ item 7 / resposta ao expandir,"pousada, Paraty"
/,aria-label,Aviso de cookies,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (div),Cookies,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (p),"Utilizamos cookies para melhorar sua experiência, analisar o uso do site e, quando autorizado, personalizar conteúdos. Você pode aceitar todos, recusar os não essenciais ou ajustar suas preferências.",Cookies / estados condicionais,sem correspondência com termo-alvo
/,CTA (button),Aceitar todos,Cookies / estados condicionais,sem correspondência com termo-alvo
/,CTA (button),Recusar não essenciais,Cookies / estados condicionais,sem correspondência com termo-alvo
/,CTA (button),Configurar,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (p),Preferências,Cookies / estados condicionais,sem correspondência com termo-alvo
/,H2,Configurar cookies,Cookies / estados condicionais,sem correspondência com termo-alvo
/,aria-label,Fechar preferências de cookies,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (preferencia),Necessários,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (preferencia),"Essenciais para segurança, funcionamento do site e preferências básicas.",Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (preferencia),Analytics,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (preferencia),Ajudam a entender visitas e melhorar o conteúdo quando autorizados.,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (preferencia),Marketing,Cookies / estados condicionais,sem correspondência com termo-alvo
/,body (preferencia),Podem personalizar conteúdos e campanhas quando autorizados.,Cookies / estados condicionais,sem correspondência com termo-alvo
/,CTA (button),Salvar preferências,Cookies / estados condicionais,sem correspondência com termo-alvo
/,aria-label,Oferta de 5% OFF na primeira reserva,Popup de desconto / estado condicional,sem correspondência com termo-alvo
/,alt,"Antes de sair, garanta 5% OFF na sua primeira reserva falando com a equipe da Pousada Aquino Mar pelo WhatsApp.",Popup de desconto / estado condicional,pousada
/,aria-label,Abrir WhatsApp para aproveitar 5% OFF na primeira reserva,Popup de desconto / estado condicional,sem correspondência com termo-alvo
/,body (span),Quero meu desconto pelo WhatsApp,Popup de desconto / estado condicional,sem correspondência com termo-alvo
/,aria-label,Fechar oferta,Popup de desconto / estado condicional,sem correspondência com termo-alvo
/grupos-e-caravanas,title,Pousada para Grupos e Caravanas em Paraty | Aquino Mar,head,"pousada, Paraty"
/grupos-e-caravanas,meta description,"Hospedagem para grupos, excursões e caravanas em Paraty com atendimento direto da Pousada Aquino Mar. Consulte disponibilidade para sua viagem.",head,"pousada, Paraty, hospedagem"
/grupos-e-caravanas,aria-label,Início - Pousada Aquino Mar,header 1,pousada
/grupos-e-caravanas,alt,Pousada Aquino Mar,header 1,pousada
/grupos-e-caravanas,aria-label,Navegação principal,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),A Pousada,header 1,pousada
/grupos-e-caravanas,CTA (a),Acomodações,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Grupos & Caravanas,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Localização,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Depoimentos,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Reservar Estadia,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,aria-label,Abrir menu,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,aria-label,Navegação mobile,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),A Pousada,header 1,pousada
/grupos-e-caravanas,CTA (a),Acomodações,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Grupos & Caravanas,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Localização,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Depoimentos,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,CTA (a),Reservar Estadia,header 1,sem correspondência com termo-alvo
/grupos-e-caravanas,alt,Área da piscina da Pousada Aquino Mar em Paraty - Hospedagem para grupos,Seu grupo em Paraty.A hospedagem fica com a gente.,"pousada, Paraty, hospedagem"
/grupos-e-caravanas,body (p),Atendimento diretopara grupos,Seu grupo em Paraty.A hospedagem fica com a gente.,sem correspondência com termo-alvo
